"User_ID","Pages_Viewed","Time_Spent_Minutes","Conversion"
720,103,79,"No"
502,449,531,"Yes"
563,149,163,"Yes"
857,430,235,"No"
122,321,710,"No"
411,475,329,"Yes"
998,381,365,"Yes"
642,30,69,"No"
977,92,616,"Yes"
148,304,977,"No"
31,123,678,"No"
597,19,738,"Yes"
195,485,55,"Yes"
662,277,646,"Yes"
806,378,788,"Yes"
879,184,559,"No"
888,57,287,"No"
371,462,246,"Yes"
784,299,283,"Yes"
521,325,133,"No"
743,385,809,"No"
817,26,15,"No"
468,229,566,"Yes"
368,291,443,"No"
356,494,496,"No"
507,257,304,"Yes"
445,167,6,"No"
327,399,91,"No"
976,488,221,"Yes"
809,90,645,"No"
9,435,832,"No"
239,489,990,"No"
724,354,802,"No"
682,494,622,"No"
980,457,456,"No"
806,320,989,"Yes"
484,139,248,"No"
406,478,551,"Yes"
769,486,156,"No"
123,187,306,"No"
729,294,158,"Yes"
483,308,371,"No"
551,194,508,"No"
488,182,263,"No"
544,21,788,"No"
462,159,917,"Yes"
312,136,711,"No"
27,54,611,"No"
264,241,189,"Yes"
766,382,722,"No"
116,408,268,"No"
383,103,420,"No"
429,127,562,"Yes"
28,332,760,"No"
69,212,664,"No"
157,216,937,"No"
460,331,79,"Yes"
430,406,467,"No"
382,130,986,"No"
888,57,496,"No"
963,244,813,"Yes"
478,210,117,"No"
518,50,34,"Yes"
256,475,448,"Yes"
443,106,440,"Yes"
412,248,496,"Yes"
542,361,461,"No"
505,413,250,"No"
741,389,687,"Yes"
945,17,926,"Yes"
390,345,575,"Yes"
699,356,163,"Yes"
437,32,996,"Yes"
465,119,765,"No"
942,386,599,"No"
501,157,958,"Yes"
22,172,282,"No"
586,55,608,"Yes"
273,57,651,"No"
409,91,347,"No"
940,88,220,"Yes"
842,230,854,"No"
260,328,853,"No"
364,255,718,"No"
968,166,755,"Yes"
247,160,128,"No"
299,381,520,"Yes"
113,355,888,"No"
294,442,238,"Yes"
652,411,623,"No"
94,272,681,"No"
348,323,671,"Yes"
559,464,389,"Yes"
381,395,277,"Yes"
99,36,153,"Yes"
843,273,118,"No"
962,144,603,"No"
44,283,333,"No"
607,54,874,"Yes"
997,292,429,"No"
411,208,201,"Yes"
308,232,388,"No"
12,64,899,"Yes"
655,479,261,"Yes"
455,418,792,"No"
143,155,876,"Yes"
905,81,866,"No"
706,210,753,"No"
151,332,217,"Yes"
216,161,796,"Yes"
972,356,354,"Yes"
263,247,825,"No"
261,36,402,"Yes"
908,223,316,"No"
726,408,836,"Yes"
873,260,5,"No"
308,45,458,"No"
421,124,118,"No"
904,6,575,"Yes"
817,40,316,"Yes"
820,357,837,"Yes"
907,227,220,"No"
208,98,132,"No"
681,411,93,"Yes"
681,91,345,"Yes"
70,365,619,"Yes"
309,217,319,"No"
22,367,578,"No"
943,20,826,"No"
813,214,780,"Yes"
454,293,308,"Yes"
304,279,697,"Yes"
541,308,174,"No"
498,90,956,"No"
878,266,352,"Yes"
602,348,985,"Yes"
700,370,371,"No"
924,182,278,"No"
210,194,274,"No"
788,352,525,"Yes"
722,351,353,"Yes"
982,42,262,"No"
560,127,550,"Yes"
889,16,907,"No"
621,340,750,"Yes"
493,322,485,"No"
262,223,588,"Yes"
53,6,85,"Yes"
445,480,210,"Yes"
809,148,81,"Yes"
727,436,574,"No"
412,275,770,"Yes"
599,316,203,"Yes"
769,23,169,"No"
198,153,786,"No"
588,107,682,"Yes"
280,97,338,"No"
169,356,516,"Yes"
772,100,776,"Yes"
864,361,251,"No"
335,458,229,"No"
948,157,282,"No"
56,435,410,"No"
152,243,746,"No"
694,170,905,"Yes"
146,25,768,"Yes"
417,370,738,"No"
713,444,647,"Yes"
712,452,206,"No"
662,215,448,"No"
725,281,993,"Yes"
376,74,932,"Yes"
775,223,743,"No"
201,474,569,"No"
974,64,929,"Yes"
966,277,11,"Yes"
785,154,6,"No"
444,476,351,"No"
696,341,715,"No"
918,101,715,"No"
897,371,7,"Yes"
10,359,418,"No"
308,209,826,"Yes"
333,53,743,"No"
576,170,780,"Yes"
69,191,738,"Yes"
57,178,745,"No"
85,492,754,"Yes"
817,55,614,"No"
419,323,942,"No"
548,32,687,"Yes"
853,289,325,"No"
707,402,675,"Yes"
694,426,652,"Yes"
478,472,478,"Yes"
591,418,130,"No"
24,57,419,"No"
962,340,34,"Yes"
860,409,54,"No"
668,247,541,"Yes"
157,362,766,"Yes"
960,113,392,"No"
911,432,262,"No"
98,497,207,"Yes"
724,370,477,"No"
449,339,999,"No"
95,239,563,"Yes"
710,484,377,"Yes"
494,311,968,"Yes"
377,352,723,"No"
676,96,660,"No"
793,461,964,"No"
515,325,389,"Yes"
246,470,527,"Yes"
330,490,229,"No"
502,58,343,"Yes"
3,424,451,"Yes"
920,114,66,"No"
337,389,254,"No"
878,72,355,"Yes"
774,142,394,"No"
82,223,697,"No"
640,303,590,"Yes"
5,291,72,"Yes"
598,27,734,"No"
506,81,979,"No"
827,423,864,"No"
